routine_name,return_type
approve_order_winners,void
archive_old_chats,void
debug_seller_feed,record
get_best_offer_price,numeric
get_buyer_dashboard_stats,json
get_buyer_dashboard_stats,json
get_seller_brands,text
get_seller_feed,record
get_seller_feed,record
gin_extract_query_trgm,internal
gin_extract_value_trgm,internal
gin_trgm_consistent,boolean
gin_trgm_triconsistent,"""char"""
goods_cost,numeric
gtrgm_compress,internal
gtrgm_consistent,boolean
gtrgm_decompress,internal
gtrgm_distance,double precision
gtrgm_in,USER-DEFINED
gtrgm_options,void
gtrgm_out,cstring
gtrgm_penalty,internal
gtrgm_picksplit,internal
gtrgm_same,internal
gtrgm_union,USER-DEFINED
offers_count,bigint
reset_db,void
set_limit,real
show_limit,real
show_trgm,ARRAY
similarity,real
similarity_dist,real
similarity_op,boolean
strict_word_similarity,real
strict_word_similarity_commutator_op,boolean
strict_word_similarity_dist_commutator_op,real
strict_word_similarity_dist_op,real
strict_word_similarity_op,boolean
total_cost,numeric
trigger_on_kp_sent,trigger
trigger_on_offer_win,trigger
word_similarity,real
word_similarity_commutator_op,boolean
word_similarity_dist_commutator_op,real
word_similarity_dist_op,real
word_similarity_op,boolean